building_id,room_id,room_type,capacity,temperature,humidity,occupancy,energy_consumption,hvac_energy,lighting_energy,equipment_energy,other_energy,hvac_status,hvac_setpoint,equipment_status,outdoor_temperature,outdoor_humidity,timestamp
B003,R002,Meeting Room,10,23.56,59.15,2,0.1,0.0,0.01,0.074,0.016,OFF,24,Normal,20.720000000000002,74.85,2026-08-28 01:15:00
B003,R003,Server Room,3,21.79,61.26,1,0.636,0.0,0.004,0.621,0.011,OFF,22,Normal,20.62,73.55,2026-08-28 01:15:00
B001,R001,Office,12,23.13,56.16,5,0.147,0.0,0.017,0.118,0.012,OFF,24,Normal,21.1,69.49,2026-08-28 01:30:00
B001,R002,Meeting Room,10,23.52,60.53,4,0.113,0.0,0.013,0.086,0.014,OFF,24,Normal,20.72,74.58,2026-08-28 01:30:00
B001,R003,Server Room,3,21.74,59.01,1,0.637,0.0,0.004,0.617,0.016,OFF,22,Normal,21.6,72.34,2026-08-28 01:30:00
B002,R001,Office,12,23.84,59.88,4,0.144,0.0,0.015,0.112,0.017,OFF,24,Normal,22.17,72.61,2026-08-28 01:30:00
B002,R002,Meeting Room,10,23.84,58.3,0,0.087,0.0,0.006,0.064,0.016,OFF,24,Normal,21.900000000000002,70.67,2026-08-28 01:30:00
B002,R003,Server Room,3,21.38,55.43,1,0.643,0.0,0.004,0.62,0.019,OFF,22,Normal,21.200000000000003,69.18,2026-08-28 01:30:00
B003,R001,Office,12,23.18,58.25,0,0.108,0.0,0.008,0.089,0.012,OFF,24,Normal,20.860000000000003,72.85,2026-08-28 01:30:00
B003,R002,Meeting Room,10,23.54,60.01,0,0.089,0.0,0.006,0.064,0.019,OFF,24,Normal,21.05,74.38,2026-08-28 01:30:00
B003,R003,Server Room,3,21.67,56.52,0,0.649,0.0,0.002,0.633,0.014,OFF,22,Normal,21.14,72.28,2026-08-28 01:30:00
B001,R001,Office,12,23.45,58.97,0,0.114,0.0,0.008,0.089,0.017,OFF,24,Normal,21.65,68.99,2026-08-28 01:45:00
B001,R002,Meeting Room,10,23.58,59.68,0,0.087,0.0,0.006,0.063,0.018,OFF,24,Normal,20.36,73.28,2026-08-28 01:45:00
B001,R003,Server Room,3,21.71,62.21,0,0.629,0.0,0.002,0.609,0.018,OFF,22,Normal,20.36,73.28,2026-08-28 01:45:00
B002,R001,Office,12,23.71,59.45,2,0.124,0.0,0.011,0.102,0.011,OFF,24,Normal,21.73,74.23,2026-08-28 01:45:00
B002,R002,Meeting Room,10,23.67,63.4,0,0.085,0.0,0.006,0.062,0.017,OFF,24,Warning,21.92,75.48,2026-08-28 01:45:00
B002,R003,Server Room,3,21.47,57.21,2,0.668,0.0,0.006,0.645,0.018,OFF,22,Normal,21.91,71.73,2026-08-28 01:45:00
B003,R001,Office,12,23.27,59.2,3,0.135,0.0,0.013,0.105,0.017,OFF,24,Normal,19.82,72.2,2026-08-28 01:45:00
B003,R002,Meeting Room,10,23.32,60.06,1,0.091,0.0,0.008,0.07,0.013,OFF,24,Normal,20.1,72.41,2026-08-28 01:45:00
B003,R003,Server Room,3,21.71,60.12,1,0.661,0.0,0.004,0.641,0.016,OFF,22,Normal,20.71,73.01,2026-08-28 01:45:00
B001,R001,Office,12,23.47,57.89,2,0.13,0.0,0.011,0.1,0.019,OFF,24,Normal,21.96,71.59,2026-08-28 02:00:00
B001,R002,Meeting Room,10,23.48,58.67,0,0.081,0.0,0.006,0.064,0.011,OFF,24,Normal,20.83,70.99,2026-08-28 02:00:00
B001,R003,Server Room,3,21.9,58.63,0,0.624,0.0,0.002,0.612,0.01,OFF,22,Normal,21.56,70.18,2026-08-28 02:00:00
B002,R001,Office,12,23.83,64.35,0,0.113,0.0,0.008,0.089,0.016,OFF,24,Normal,21.41,78.03,2026-08-28 02:00:00
B002,R002,Meeting Room,10,23.43,59.54,1,0.096,0.0,0.008,0.068,0.02,OFF,24,Normal,21.39,71.69,2026-08-28 02:00:00
B002,R003,Server Room,3,21.63,57.13,2,0.662,0.0,0.006,0.644,0.012,OFF,22,Normal,21.3,69.91,2026-08-28 02:00:00
B003,R001,Office,12,23.45,59.08,3,0.134,0.0,0.013,0.105,0.016,OFF,24,Normal,21.03,72.7,2026-08-28 02:00:00
B003,R002,Meeting Room,10,23.16,57.62,0,0.09,0.0,0.006,0.064,0.02,OFF,24,Normal,20.73,69.0,2026-08-28 02:00:00
B003,R003,Server Room,3,21.58,57.01,1,0.667,0.0,0.004,0.647,0.017,OFF,22,Normal,20.32,68.05,2026-08-28 02:00:00
B001,R001,Office,12,23.57,57.28,1,0.122,0.0,0.01,0.096,0.017,OFF,24,Normal,21.27,69.29,2026-08-28 02:15:00
B001,R002,Meeting Room,10,23.6,57.32,4,0.117,0.0,0.013,0.086,0.017,OFF,24,Normal,22.18,72.44,2026-08-28 02:15:00
B001,R003,Server Room,3,22.02,59.1,2,0.68,0.0,0.006,0.655,0.019,OFF,22,Normal,20.96,72.57,2026-08-28 02:15:00
B002,R001,Office,12,23.84,60.11,0,0.109,0.0,0.007,0.087,0.014,OFF,24,Normal,21.57,72.96,2026-08-28 02:15:00
B002,R002,Meeting Room,10,23.49,60.45,0,0.079,0.0,0.006,0.061,0.012,OFF,24,Normal,21.25,73.98,2026-08-28 02:15:00
B002,R003,Server Room,3,21.96,57.1,1,0.632,0.0,0.004,0.614,0.014,OFF,22,Normal,22.55,69.2,2026-08-28 02:15:00
B003,R001,Office,12,23.4,58.12,0,0.105,0.0,0.007,0.086,0.012,OFF,24,Normal,20.51,70.36,2026-08-28 02:15:00
B003,R002,Meeting Room,10,23.4,58.18,1,0.096,0.0,0.008,0.07,0.018,OFF,24,Normal,21.360000000000003,70.43,2026-08-28 02:15:00
B003,R003,Server Room,3,21.67,61.44,0,0.655,0.0,0.002,0.642,0.011,OFF,22,Normal,21.450000000000003,72.18,2026-08-28 02:15:00
B001,R001,Office,12,23.63,57.09,3,0.133,0.0,0.013,0.107,0.013,OFF,24,Normal,21.88,71.04,2026-08-28 02:30:00
B001,R002,Meeting Room,10,23.48,58.38,3,0.109,0.0,0.012,0.081,0.016,OFF,24,Normal,21.05,72.07,2026-08-28 02:30:00
B001,R003,Server Room,3,21.94,58.33,0,0.65,0.0,0.002,0.635,0.013,OFF,22,Normal,21.2,73.16,2026-08-28 02:30:00
B002,R001,Office,12,23.86,55.32,4,0.147,0.0,0.015,0.115,0.017,OFF,24,Normal,21.91,68.88,2026-08-28 02:30:00
B002,R002,Meeting Room,10,23.35,59.04,0,0.089,0.0,0.006,0.064,0.019,OFF,24,Normal,21.8,72.02,2026-08-28 02:30:00
B002,R003,Server Room,3,21.93,57.6,0,0.63,0.0,0.002,0.612,0.016,OFF,22,Normal,21.39,71.64,2026-08-28 02:30:00
B003,R001,Office,12,23.37,56.75,3,0.141,0.0,0.013,0.108,0.019,OFF,24,Normal,21.380000000000003,71.65,2026-08-28 02:30:00
B003,R002,Meeting Room,10,23.36,57.69,1,0.093,0.0,0.008,0.067,0.018,OFF,24,Normal,20.62,73.19,2026-08-28 02:30:00
B003,R003,Server Room,3,21.87,56.87,0,0.626,0.0,0.002,0.61,0.014,OFF,22,Normal,20.17,68.69,2026-08-28 02:30:00
B001,R001,Office,12,23.67,57.75,2,0.124,0.0,0.011,0.099,0.014,OFF,24,Normal,21.07,70.99,2026-08-28 02:45:00
B001,R002,Meeting Room,10,23.66,58.14,0,0.08,0.0,0.006,0.062,0.012,OFF,24,Normal,22.24,72.21,2026-08-28 02:45:00
B001,R003,Server Room,3,21.83,58.35,1,0.642,0.0,0.004,0.62,0.018,OFF,22,Normal,20.73,70.51,2026-08-28 02:45:00
B002,R001,Office,12,23.67,58.46,0,0.114,0.0,0.007,0.086,0.02,OFF,24,Normal,21.57,72.15,2026-08-28 02:45:00
B002,R002,Meeting Room,10,23.23,57.14,2,0.1,0.0,0.01,0.073,0.017,OFF,24,Normal,21.720000000000002,70.66,2026-08-28 02:45:00
B002,R003,Server Room,3,21.86,61.05,1,0.645,0.0,0.004,0.626,0.016,OFF,22,Normal,20.85,72.09,2026-08-28 02:45:00
B003,R001,Office,12,23.33,55.97,0,0.114,0.0,0.008,0.088,0.019,OFF,24,Normal,20.39,69.93,2026-08-28 02:45:00
B003,R002,Meeting Room,10,23.23,58.13,4,0.116,0.0,0.013,0.085,0.017,OFF,24,Normal,20.68,70.63,2026-08-28 02:45:00
B003,R003,Server Room,3,21.96,59.35,0,0.648,0.0,0.002,0.626,0.02,OFF,22,Normal,20.93,70.76,2026-08-28 02:45:00
B001,R001,Office,12,23.5,59.7,0,0.112,0.0,0.008,0.088,0.017,OFF,24,Normal,22.26,72.22,2026-08-28 03:00:00
B001,R002,Meeting Room,10,23.65,59.09,0,0.088,0.0,0.006,0.063,0.019,OFF,24,Normal,21.87,71.65,2026-08-28 03:00:00
B001,R003,Server Room,3,21.97,57.01,1,0.644,0.0,0.004,0.628,0.013,OFF,22,Normal,21.68,72.71,2026-08-28 03:00:00
B002,R001,Office,12,23.63,58.71,0,0.111,0.0,0.007,0.086,0.018,OFF,24,Normal,22.650000000000002,71.44,2026-08-28 03:00:00
B002,R002,Meeting Room,10,23.43,56.16,4,0.116,0.0,0.013,0.086,0.017,OFF,24,Normal,21.85,69.11,2026-08-28 03:00:00
B002,R003,Server Room,3,21.67,61.24,2,0.648,0.0,0.006,0.633,0.01,OFF,22,Normal,22.720000000000002,73.35,2026-08-28 03:00:00
B003,R001,Office,12,23.55,58.89,3,0.139,0.0,0.014,0.109,0.016,OFF,24,Normal,22.18,70.8,2026-08-28 03:00:00
B003,R002,Meeting Room,10,23.44,61.17,0,0.084,0.0,0.006,0.063,0.015,OFF,24,Normal,20.98,72.77,2026-08-28 03:00:00
B003,R003,Server Room,3,21.97,57.87,1,0.649,0.0,0.004,0.634,0.011,OFF,22,Normal,21.16,71.76,2026-08-28 03:00:00
B001,R001,Office,12,23.56,60.02,2,0.12,0.0,0.011,0.097,0.011,OFF,24,Normal,22.52,72.33,2026-08-28 03:15:00
B001,R002,Meeting Room,10,23.4,59.01,0,0.082,0.0,0.006,0.061,0.015,OFF,24,Normal,20.83,71.46,2026-08-28 03:15:00
B001,R003,Server Room,3,22.02,56.56,0,0.64,0.0,0.002,0.623,0.015,OFF,22,Normal,21.78,71.8,2026-08-28 03:15:00
B002,R001,Office,12,23.51,60.51,1,0.121,0.0,0.01,0.096,0.015,OFF,24,Normal,22.770000000000003,72.85,2026-08-28 03:15:00
B002,R002,Meeting Room,10,23.59,60.15,1,0.093,0.0,0.008,0.069,0.016,OFF,24,Normal,22.84,73.33,2026-08-28 03:15:00
B002,R003,Server Room,3,21.61,59.17,2,0.662,0.0,0.006,0.645,0.011,OFF,22,Normal,22.860000000000003,71.92,2026-08-28 03:15:00
B003,R001,Office,12,23.52,55.97,3,0.132,0.0,0.013,0.105,0.014,OFF,24,Normal,20.75,69.22,2026-08-28 03:15:00
B003,R002,Meeting Room,10,23.54,60.15,0,0.085,0.0,0.006,0.062,0.017,OFF,24,Normal,20.75,72.6,2026-08-28 03:15:00
B003,R003,Server Room,3,21.98,58.36,0,0.647,0.0,0.002,0.634,0.011,OFF,22,Normal,21.41,71.65,2026-08-28 03:15:00
B001,R001,Office,12,23.64,59.37,0,0.108,0.0,0.007,0.085,0.015,OFF,24,Normal,21.97,73.9,2026-08-28 03:30:00
B001,R002,Meeting Room,10,23.25,59.49,1,0.094,0.0,0.008,0.069,0.016,OFF,24,Normal,21.72,74.09,2026-08-28 03:30:00
B001,R003,Server Room,3,21.98,57.57,0,0.65,0.0,0.002,0.635,0.013,OFF,22,Normal,21.08,70.15,2026-08-28 03:30:00
B002,R001,Office,12,23.64,61.09,0,0.107,0.0,0.008,0.089,0.011,OFF,24,Normal,22.060000000000002,73.02,2026-08-28 03:30:00
B002,R002,Meeting Room,10,23.54,60.4,3,0.104,0.0,0.012,0.08,0.011,OFF,24,Normal,22.76,73.34,2026-08-28 03:30:00
B002,R003,Server Room,3,21.77,57.95,0,0.627,0.0,0.002,0.608,0.017,OFF,22,Normal,22.87,71.03,2026-08-28 03:30:00
B003,R001,Office,12,23.41,58.46,2,0.123,0.0,0.011,0.1,0.012,OFF,24,Normal,20.75,72.74,2026-08-28 03:30:00
B003,R002,Meeting Room,10,23.44,59.19,2,0.096,0.0,0.01,0.074,0.013,OFF,24,Normal,21.82,73.93,2026-08-28 03:30:00
B003,R003,Server Room,3,22.18,58.21,3,0.66,0.0,0.007,0.636,0.017,OFF,22,Normal,21.560000000000002,72.46,2026-08-28 03:30:00
B001,R001,Office,12,23.58,57.06,0,0.103,0.0,0.007,0.085,0.011,OFF,24,Normal,21.06,70.8,2026-08-28 03:45:00
B001,R002,Meeting Room,10,23.46,54.55,3,0.106,0.0,0.012,0.083,0.011,OFF,24,Normal,21.86,69.37,2026-08-28 03:45:00
B001,R003,Server Room,3,21.88,58.69,1,0.642,0.0,0.004,0.625,0.013,OFF,22,Normal,21.13,70.71,2026-08-28 03:45:00
B002,R001,Office,12,23.39,58.4,3,0.135,0.0,0.013,0.108,0.014,OFF,24,Normal,22.0,71.94,2026-08-28 03:45:00
B002,R002,Meeting Room,10,23.62,58.81,0,0.086,0.0,0.006,0.063,0.016,OFF,24,Normal,22.39,70.65,2026-08-28 03:45:00
B002,R003,Server Room,3,21.64,60.98,1,0.651,0.0,0.004,0.629,0.018,OFF,22,Normal,22.62,75.09,2026-08-28 03:45:00
B003,R001,Office,12,23.24,56.63,0,0.109,0.0,0.007,0.086,0.016,OFF,24,Normal,20.59,70.88,2026-08-28 03:45:00
B003,R002,Meeting Room,10,23.43,59.84,0,0.083,0.0,0.006,0.062,0.015,OFF,24,Normal,20.85,72.6,2026-08-28 03:45:00
B003,R003,Server Room,3,22.37,60.87,1,1.145,0.487,0.004,0.636,0.019,ON,22,Normal,22.130000000000003,73.32,2026-08-28 03:45:00
B001,R001,Office,12,23.49,55.2,0,0.111,0.0,0.008,0.088,0.015,OFF,24,Normal,21.93,71.55,2026-08-28 04:00:00
B001,R002,Meeting Room,10,23.53,56.63,0,0.08,0.0,0.006,0.063,0.011,OFF,24,Normal,22.45,71.02,2026-08-28 04:00:00
B001,R003,Server Room,3,21.83,60.95,1,0.672,0.0,0.004,0.649,0.019,OFF,22,Normal,21.71,74.24,2026-08-28 04:00:00
B002,R001,Office,12,23.32,57.19,0,0.109,0.0,0.008,0.088,0.013,OFF,24,Normal,22.740000000000002,72.67,2026-08-28 04:00:00
B002,R002,Meeting Room,10,23.79,61.31,0,0.084,0.0,0.006,0.062,0.016,OFF,24,Normal,23.16,74.28,2026-08-28 04:00:00
B002,R003,Server Room,3,21.98,55.84,1,0.653,0.0,0.004,0.638,0.011,OFF,22,Normal,22.270000000000003,67.36,2026-08-28 04:00:00
B003,R001,Office,12,23.44,58.1,5,0.15,0.0,0.017,0.117,0.017,OFF,24,Normal,22.05,72.2,2026-08-28 04:00:00
B003,R002,Meeting Room,10,23.5,58.41,1,0.094,0.0,0.008,0.07,0.016,OFF,24,Normal,21.860000000000003,73.38,2026-08-28 04:00:00
B003,R003,Server Room,3,22.16,55.54,1,0.634,0.0,0.004,0.619,0.011,OFF,22,Normal,21.080000000000002,68.52,2026-08-28 04:00:00
B001,R001,Office,12,23.47,56.56,4,0.144,0.0,0.015,0.114,0.015,OFF,24,Normal,22.29,71.25,2026-08-28 04:15:00
B001,R002,Meeting Room,10,23.58,59.71,0,0.087,0.0,0.006,0.064,0.016,OFF,24,Normal,21.5,71.96,2026-08-28 04:15:00
B001,R003,Server Room,3,22.03,58.14,2,0.643,0.0,0.005,0.623,0.015,OFF,22,Normal,21.54,72.23,2026-08-28 04:15:00
B002,R001,Office,12,23.19,59.76,2,0.125,0.0,0.012,0.102,0.011,OFF,24,Normal,22.91,73.85,2026-08-28 04:15:00
B002,R002,Meeting Room,10,23.71,57.68,0,0.082,0.0,0.006,0.062,0.014,OFF,24,Normal,23.48,68.94,2026-08-28 04:15:00
B002,R003,Server Room,3,22.17,61.13,1,0.635,0.0,0.004,0.618,0.013,OFF,22,Normal,22.69,73.73,2026-08-28 04:15:00
B003,R001,Office,12,23.58,56.56,0,0.11,0.0,0.008,0.088,0.015,OFF,24,Normal,22.110000000000003,70.88,2026-08-28 04:15:00
B003,R002,Meeting Room,10,23.7,61.01,3,0.109,0.0,0.012,0.081,0.016,OFF,24,Normal,21.970000000000002,72.17,2026-08-28 04:15:00
B003,R003,Server Room,3,22.13,61.42,0,0.626,0.0,0.002,0.609,0.016,OFF,22,Normal,21.64,73.02,2026-08-28 04:15:00
B001,R001,Office,12,23.75,57.85,0,0.105,0.0,0.007,0.087,0.01,OFF,24,Normal,22.16,69.68,2026-08-28 04:30:00
B001,R002,Meeting Room,10,23.67,58.2,0,0.083,0.0,0.006,0.061,0.016,OFF,24,Normal,22.01,70.12,2026-08-28 04:30:00
B001,R003,Server Room,3,21.97,58.93,2,0.673,0.0,0.006,0.65,0.017,OFF,22,Normal,22.03,70.93,2026-08-28 04:30:00
B002,R001,Office,12,23.36,58.71,5,0.157,0.0,0.017,0.122,0.018,OFF,24,Normal,23.19,71.73,2026-08-28 04:30:00
B002,R002,Meeting Room,10,23.8,60.56,0,0.081,0.0,0.006,0.062,0.013,OFF,24,Normal,22.89,75.38,2026-08-28 04:30:00
B002,R003,Server Room,3,22.1,58.32,0,0.628,0.0,0.002,0.608,0.018,OFF,22,Normal,22.490000000000002,72.09,2026-08-28 04:30:00
B003,R001,Office,12,23.48,61.08,5,0.154,0.0,0.017,0.122,0.015,OFF,24,Normal,21.490000000000002,75.55,2026-08-28 04:30:00
B003,R002,Meeting Room,10,23.55,62.03,3,0.103,0.0,0.012,0.079,0.012,OFF,24,Normal,21.92,74.83,2026-08-28 04:30:00
B003,R003,Server Room,3,22.09,61.59,1,0.639,0.0,0.004,0.625,0.011,OFF,22,Normal,20.14,74.75,2026-08-28 04:30:00
B001,R001,Office,12,23.75,60.13,0,0.107,0.0,0.008,0.089,0.011,OFF,24,Normal,22.45,74.14,2026-08-28 04:45:00
B001,R002,Meeting Room,10,23.51,58.77,2,0.104,0.0,0.01,0.074,0.019,OFF,24,Normal,21.54,73.74,2026-08-28 04:45:00
B001,R003,Server Room,3,21.82,59.22,1,0.632,0.0,0.004,0.617,0.012,OFF,22,Normal,21.47,70.9,2026-08-28 04:45:00
B002,R001,Office,12,23.33,58.7,0,0.107,0.0,0.007,0.087,0.013,OFF,24,Normal,22.130000000000003,72.01,2026-08-28 04:45:00
B002,R002,Meeting Room,10,23.72,61.91,0,0.087,0.0,0.006,0.062,0.018,OFF,24,Normal,22.37,76.35,2026-08-28 04:45:00
B002,R003,Server Room,3,22.0,57.13,0,0.634,0.0,0.002,0.619,0.013,OFF,22,Normal,22.42,72.29,2026-08-28 04:45:00
B003,R001,Office,12,23.58,56.66,1,0.123,0.0,0.009,0.095,0.019,OFF,24,Normal,20.6,70.9,2026-08-28 04:45:00
B003,R002,Meeting Room,10,23.58,59.19,3,0.108,0.0,0.012,0.079,0.017,OFF,24,Normal,21.37,71.94,2026-08-28 04:45:00
B003,R003,Server Room,3,21.89,59.95,2,0.647,0.0,0.006,0.63,0.011,OFF,22,Normal,21.01,74.65,2026-08-28 04:45:00
B001,R001,Office,12,23.75,57.6,5,0.152,0.0,0.017,0.117,0.019,OFF,24,Normal,22.75,69.89,2026-08-28 05:00:00
B001,R002,Meeting Room,10,23.61,59.0,2,0.103,0.0,0.01,0.074,0.019,OFF,24,Normal,22.05,71.81,2026-08-28 05:00:00
B001,R003,Server Room,3,21.77,57.28,1,0.638,0.0,0.004,0.619,0.015,OFF,22,Normal,22.29,71.42,2026-08-28 05:00:00
B002,R001,Office,12,23.46,58.21,0,0.111,0.0,0.007,0.085,0.018,OFF,24,Normal,23.43,70.95,2026-08-28 05:00:00
